no,TYPE,TITLE,CONTENT,REG_DATE
1,N,보조배터리 기내반입 절차,"최근 온라인 구인구직 사이트에서 진에어 직원을 사칭하며, 여행 관련 문서 작성 등 특정 업무를 제안하고 피싱 사이트로 회원가입을 유도하는 사례가 제보되고 있습니다.

진에어는 공식 채용 사이트(https://jinair.recruiter.co.kr/)를 통해서만 채용 정보 제공 및 지원서를 접수하고 있으며,
어떠한 경우에도 개인적인 연락을 통해 고객 개인정보를 요구하거나 수집하지 않습니다.

또한 진에어 공식 홈페이지(https://www.jinair.com/)와 유사한 주소를 가진 피싱 사이트를 통해 개인정보가 유출될 수 있으니 각별한 주의를 부탁드립니다.

Fly, better fly Jin Air",2025-04-01 09:00:00
2,N,[한국발 외] 국제선 유류할증료 (2025년 4월),"태국으로 입국하시는 태국 국적외 모든 승객께서는 2025년 5월 1일부터 사전 온라인 입국 신고(TDAC)를 등록하셔야 하오니 참고하여 주시기 바랍니다.

ㅇ 시기 : 2025년 5월 1일 부
ㅇ 대상 : 태국에 입국하는 모든 외국인
ㅇ 주요 내용
    - TDAC의 경우 태국 입국 외국인 대상 의무적으로 온라인 등록 필요
    - 여행 3일 전부터 등록 가능
    - 등록 완료 후 이메일로 받은 확인 QR코드를 입국 심사관에게 제시
    - 태국 도착 전 TDAC 미 발급 시 태국 공항 입국장 셀프 키오스크 통하여 발급 가능
    - TDAC 등록 웹사이트 : 공식 웹사이트 바로가기
    - 기존의 종이 입국 카드(TM6)의 경우 유효하지 않음

Fly, better fly Jin Air",2025-04-02 09:00:00
3,N,[한국 출발] 국제선 유류할증료 (2025년 5월),"베트남 출발 여정 여행 시 최소 4시간 이상 지연될 경우, 베트남 민간 항공법에 따라 일정 기준의 보상을 받을 수 있습니다.
여객의 권리에 대한 자세한 내용은 고객센터로 문의하시거나 아래 관련 법령을 참고해 주세요.

Fly, better fly Jin Air",2025-04-03 09:00:00
4,N,[한국발 외] 국제선 유류할증료 (2025년 4월),"승객 여러분의 안전한 여행을 위해 보조배터리 기내 반입 규정을 안내드립니다.

1. 시행 
   ㅇ 2025년 3월 1일(토) 06시 부

2. 보조배터리 기내 반입 안내
   ㅇ 기내 반입을 위해 단락 방지 조치는 필수입니다. (다음 3가지 중 하나의 방법으로 조치)
     - 비닐봉투, 보호용 파우치에 1개씩 분리 보관
     - 단자에 테이프 부착
     - 단자 보호용 캡 부착

   ㅇ 보조배터리 및 전자담배를 충전하거나 기내 선반에 보관은 엄격히 금지하고 있습니다. 
   ㅇ 반드시 직접 휴대하거나 좌석 앞주머니에 보관해주시고 미사용시에는 봉투에 넣어주세요.
   ㅇ 보조배터리가 과열되거나 부풀어 오르면 즉시 승무원에게 알려주세요.

Fly, better fly Jin Air",2025-04-04 09:00:00
5,N,[한국 출발] 국제선 유류할증료 (2025년 5월),"최근 온라인 구인구직 사이트에서 진에어 직원을 사칭하며, 여행 관련 문서 작성 등 특정 업무를 제안하고 피싱 사이트로 회원가입을 유도하는 사례가 제보되고 있습니다.

진에어는 공식 채용 사이트(https://jinair.recruiter.co.kr/)를 통해서만 채용 정보 제공 및 지원서를 접수하고 있으며,
어떠한 경우에도 개인적인 연락을 통해 고객 개인정보를 요구하거나 수집하지 않습니다.

또한 진에어 공식 홈페이지(https://www.jinair.com/)와 유사한 주소를 가진 피싱 사이트를 통해 개인정보가 유출될 수 있으니 각별한 주의를 부탁드립니다.

Fly, better fly Jin Air",2025-04-05 09:00:00
6,N,태국 입국 외국인 대상 TDAC(태국 디지털 입국 카드) 시행 (5/1~),"태국으로 입국하시는 태국 국적외 모든 승객께서는 2025년 5월 1일부터 사전 온라인 입국 신고(TDAC)를 등록하셔야 하오니 참고하여 주시기 바랍니다.

ㅇ 시기 : 2025년 5월 1일 부
ㅇ 대상 : 태국에 입국하는 모든 외국인
ㅇ 주요 내용
    - TDAC의 경우 태국 입국 외국인 대상 의무적으로 온라인 등록 필요
    - 여행 3일 전부터 등록 가능
    - 등록 완료 후 이메일로 받은 확인 QR코드를 입국 심사관에게 제시
    - 태국 도착 전 TDAC 미 발급 시 태국 공항 입국장 셀프 키오스크 통하여 발급 가능
    - TDAC 등록 웹사이트 : 공식 웹사이트 바로가기
    - 기존의 종이 입국 카드(TM6)의 경우 유효하지 않음

Fly, better fly Jin Air",2025-04-06 09:00:00
7,N,국내선 유류할증료 안내 (2025년 5월),"베트남 출발 여정 여행 시 최소 4시간 이상 지연될 경우, 베트남 민간 항공법에 따라 일정 기준의 보상을 받을 수 있습니다.
여객의 권리에 대한 자세한 내용은 고객센터로 문의하시거나 아래 관련 법령을 참고해 주세요.

Fly, better fly Jin Air",2025-04-07 09:00:00
8,N,보조배터리 기내반입 절차,"승객 여러분의 안전한 여행을 위해 보조배터리 기내 반입 규정을 안내드립니다.

1. 시행 
   ㅇ 2025년 3월 1일(토) 06시 부

2. 보조배터리 기내 반입 안내
   ㅇ 기내 반입을 위해 단락 방지 조치는 필수입니다. (다음 3가지 중 하나의 방법으로 조치)
     - 비닐봉투, 보호용 파우치에 1개씩 분리 보관
     - 단자에 테이프 부착
     - 단자 보호용 캡 부착

   ㅇ 보조배터리 및 전자담배를 충전하거나 기내 선반에 보관은 엄격히 금지하고 있습니다. 
   ㅇ 반드시 직접 휴대하거나 좌석 앞주머니에 보관해주시고 미사용시에는 봉투에 넣어주세요.
   ㅇ 보조배터리가 과열되거나 부풀어 오르면 즉시 승무원에게 알려주세요.

Fly, better fly Jin Air",2025-04-08 09:00:00
9,N,태국 입국 외국인 대상 TDAC(태국 디지털 입국 카드) 시행 (5/1~),"최근 온라인 구인구직 사이트에서 진에어 직원을 사칭하며, 여행 관련 문서 작성 등 특정 업무를 제안하고 피싱 사이트로 회원가입을 유도하는 사례가 제보되고 있습니다.

진에어는 공식 채용 사이트(https://jinair.recruiter.co.kr/)를 통해서만 채용 정보 제공 및 지원서를 접수하고 있으며,
어떠한 경우에도 개인적인 연락을 통해 고객 개인정보를 요구하거나 수집하지 않습니다.

또한 진에어 공식 홈페이지(https://www.jinair.com/)와 유사한 주소를 가진 피싱 사이트를 통해 개인정보가 유출될 수 있으니 각별한 주의를 부탁드립니다.

Fly, better fly Jin Air",2025-04-09 09:00:00
10,N,해외 사이트를 통한 항공권 구매시 유의사항,"태국으로 입국하시는 태국 국적외 모든 승객께서는 2025년 5월 1일부터 사전 온라인 입국 신고(TDAC)를 등록하셔야 하오니 참고하여 주시기 바랍니다.

ㅇ 시기 : 2025년 5월 1일 부
ㅇ 대상 : 태국에 입국하는 모든 외국인
ㅇ 주요 내용
    - TDAC의 경우 태국 입국 외국인 대상 의무적으로 온라인 등록 필요
    - 여행 3일 전부터 등록 가능
    - 등록 완료 후 이메일로 받은 확인 QR코드를 입국 심사관에게 제시
    - 태국 도착 전 TDAC 미 발급 시 태국 공항 입국장 셀프 키오스크 통하여 발급 가능
    - TDAC 등록 웹사이트 : 공식 웹사이트 바로가기
    - 기존의 종이 입국 카드(TM6)의 경우 유효하지 않음

Fly, better fly Jin Air",2025-04-10 09:00:00
11,N,베트남 출발 항공편 여객 보호 규정 고지,"베트남 출발 여정 여행 시 최소 4시간 이상 지연될 경우, 베트남 민간 항공법에 따라 일정 기준의 보상을 받을 수 있습니다.
여객의 권리에 대한 자세한 내용은 고객센터로 문의하시거나 아래 관련 법령을 참고해 주세요.

Fly, better fly Jin Air",2025-04-11 09:00:00
12,N,이시가키지마(ISG) 신규취항 안내,"승객 여러분의 안전한 여행을 위해 보조배터리 기내 반입 규정을 안내드립니다.

1. 시행 
   ㅇ 2025년 3월 1일(토) 06시 부

2. 보조배터리 기내 반입 안내
   ㅇ 기내 반입을 위해 단락 방지 조치는 필수입니다. (다음 3가지 중 하나의 방법으로 조치)
     - 비닐봉투, 보호용 파우치에 1개씩 분리 보관
     - 단자에 테이프 부착
     - 단자 보호용 캡 부착

   ㅇ 보조배터리 및 전자담배를 충전하거나 기내 선반에 보관은 엄격히 금지하고 있습니다. 
   ㅇ 반드시 직접 휴대하거나 좌석 앞주머니에 보관해주시고 미사용시에는 봉투에 넣어주세요.
   ㅇ 보조배터리가 과열되거나 부풀어 오르면 즉시 승무원에게 알려주세요.

Fly, better fly Jin Air",2025-04-12 09:00:00
13,N,국내선 유류할증료 안내 (2025년 5월),"최근 온라인 구인구직 사이트에서 진에어 직원을 사칭하며, 여행 관련 문서 작성 등 특정 업무를 제안하고 피싱 사이트로 회원가입을 유도하는 사례가 제보되고 있습니다.

진에어는 공식 채용 사이트(https://jinair.recruiter.co.kr/)를 통해서만 채용 정보 제공 및 지원서를 접수하고 있으며,
어떠한 경우에도 개인적인 연락을 통해 고객 개인정보를 요구하거나 수집하지 않습니다.

또한 진에어 공식 홈페이지(https://www.jinair.com/)와 유사한 주소를 가진 피싱 사이트를 통해 개인정보가 유출될 수 있으니 각별한 주의를 부탁드립니다.

Fly, better fly Jin Air",2025-04-13 09:00:00
14,N,진에어 사칭 아르바이트 및 웹사이트 주의 안내,"태국으로 입국하시는 태국 국적외 모든 승객께서는 2025년 5월 1일부터 사전 온라인 입국 신고(TDAC)를 등록하셔야 하오니 참고하여 주시기 바랍니다.

ㅇ 시기 : 2025년 5월 1일 부
ㅇ 대상 : 태국에 입국하는 모든 외국인
ㅇ 주요 내용
    - TDAC의 경우 태국 입국 외국인 대상 의무적으로 온라인 등록 필요
    - 여행 3일 전부터 등록 가능
    - 등록 완료 후 이메일로 받은 확인 QR코드를 입국 심사관에게 제시
    - 태국 도착 전 TDAC 미 발급 시 태국 공항 입국장 셀프 키오스크 통하여 발급 가능
    - TDAC 등록 웹사이트 : 공식 웹사이트 바로가기
    - 기존의 종이 입국 카드(TM6)의 경우 유효하지 않음

Fly, better fly Jin Air",2025-04-14 09:00:00
15,N,[한국발 외] 국제선 유류할증료 (2025년 4월),"베트남 출발 여정 여행 시 최소 4시간 이상 지연될 경우, 베트남 민간 항공법에 따라 일정 기준의 보상을 받을 수 있습니다.
여객의 권리에 대한 자세한 내용은 고객센터로 문의하시거나 아래 관련 법령을 참고해 주세요.

Fly, better fly Jin Air",2025-04-15 09:00:00
16,N,진에어 사칭 아르바이트 및 웹사이트 주의 안내,"승객 여러분의 안전한 여행을 위해 보조배터리 기내 반입 규정을 안내드립니다.

1. 시행 
   ㅇ 2025년 3월 1일(토) 06시 부

2. 보조배터리 기내 반입 안내
   ㅇ 기내 반입을 위해 단락 방지 조치는 필수입니다. (다음 3가지 중 하나의 방법으로 조치)
     - 비닐봉투, 보호용 파우치에 1개씩 분리 보관
     - 단자에 테이프 부착
     - 단자 보호용 캡 부착

   ㅇ 보조배터리 및 전자담배를 충전하거나 기내 선반에 보관은 엄격히 금지하고 있습니다. 
   ㅇ 반드시 직접 휴대하거나 좌석 앞주머니에 보관해주시고 미사용시에는 봉투에 넣어주세요.
   ㅇ 보조배터리가 과열되거나 부풀어 오르면 즉시 승무원에게 알려주세요.

Fly, better fly Jin Air",2025-04-16 09:00:00
17,N,해외 사이트를 통한 항공권 구매시 유의사항,"최근 온라인 구인구직 사이트에서 진에어 직원을 사칭하며, 여행 관련 문서 작성 등 특정 업무를 제안하고 피싱 사이트로 회원가입을 유도하는 사례가 제보되고 있습니다.

진에어는 공식 채용 사이트(https://jinair.recruiter.co.kr/)를 통해서만 채용 정보 제공 및 지원서를 접수하고 있으며,
어떠한 경우에도 개인적인 연락을 통해 고객 개인정보를 요구하거나 수집하지 않습니다.

또한 진에어 공식 홈페이지(https://www.jinair.com/)와 유사한 주소를 가진 피싱 사이트를 통해 개인정보가 유출될 수 있으니 각별한 주의를 부탁드립니다.

Fly, better fly Jin Air",2025-04-17 09:00:00
18,N,보조배터리 기내반입 절차,"태국으로 입국하시는 태국 국적외 모든 승객께서는 2025년 5월 1일부터 사전 온라인 입국 신고(TDAC)를 등록하셔야 하오니 참고하여 주시기 바랍니다.

ㅇ 시기 : 2025년 5월 1일 부
ㅇ 대상 : 태국에 입국하는 모든 외국인
ㅇ 주요 내용
    - TDAC의 경우 태국 입국 외국인 대상 의무적으로 온라인 등록 필요
    - 여행 3일 전부터 등록 가능
    - 등록 완료 후 이메일로 받은 확인 QR코드를 입국 심사관에게 제시
    - 태국 도착 전 TDAC 미 발급 시 태국 공항 입국장 셀프 키오스크 통하여 발급 가능
    - TDAC 등록 웹사이트 : 공식 웹사이트 바로가기
    - 기존의 종이 입국 카드(TM6)의 경우 유효하지 않음

Fly, better fly Jin Air",2025-04-18 09:00:00
19,N,해외 사이트를 통한 항공권 구매시 유의사항,"베트남 출발 여정 여행 시 최소 4시간 이상 지연될 경우, 베트남 민간 항공법에 따라 일정 기준의 보상을 받을 수 있습니다.
여객의 권리에 대한 자세한 내용은 고객센터로 문의하시거나 아래 관련 법령을 참고해 주세요.

Fly, better fly Jin Air",2025-04-19 09:00:00
20,N,간사이공항 체크인카운터 위치 변경 (25/3/30~),"승객 여러분의 안전한 여행을 위해 보조배터리 기내 반입 규정을 안내드립니다.

1. 시행 
   ㅇ 2025년 3월 1일(토) 06시 부

2. 보조배터리 기내 반입 안내
   ㅇ 기내 반입을 위해 단락 방지 조치는 필수입니다. (다음 3가지 중 하나의 방법으로 조치)
     - 비닐봉투, 보호용 파우치에 1개씩 분리 보관
     - 단자에 테이프 부착
     - 단자 보호용 캡 부착

   ㅇ 보조배터리 및 전자담배를 충전하거나 기내 선반에 보관은 엄격히 금지하고 있습니다. 
   ㅇ 반드시 직접 휴대하거나 좌석 앞주머니에 보관해주시고 미사용시에는 봉투에 넣어주세요.
   ㅇ 보조배터리가 과열되거나 부풀어 오르면 즉시 승무원에게 알려주세요.

Fly, better fly Jin Air",2025-04-20 09:00:00
21,N,태국 입국 외국인 대상 TDAC(태국 디지털 입국 카드) 시행 (5/1~),"최근 온라인 구인구직 사이트에서 진에어 직원을 사칭하며, 여행 관련 문서 작성 등 특정 업무를 제안하고 피싱 사이트로 회원가입을 유도하는 사례가 제보되고 있습니다.

진에어는 공식 채용 사이트(https://jinair.recruiter.co.kr/)를 통해서만 채용 정보 제공 및 지원서를 접수하고 있으며,
어떠한 경우에도 개인적인 연락을 통해 고객 개인정보를 요구하거나 수집하지 않습니다.

또한 진에어 공식 홈페이지(https://www.jinair.com/)와 유사한 주소를 가진 피싱 사이트를 통해 개인정보가 유출될 수 있으니 각별한 주의를 부탁드립니다.

Fly, better fly Jin Air",2025-04-21 09:00:00
22,N,베트남 출발 항공편 여객 보호 규정 고지,"태국으로 입국하시는 태국 국적외 모든 승객께서는 2025년 5월 1일부터 사전 온라인 입국 신고(TDAC)를 등록하셔야 하오니 참고하여 주시기 바랍니다.

ㅇ 시기 : 2025년 5월 1일 부
ㅇ 대상 : 태국에 입국하는 모든 외국인
ㅇ 주요 내용
    - TDAC의 경우 태국 입국 외국인 대상 의무적으로 온라인 등록 필요
    - 여행 3일 전부터 등록 가능
    - 등록 완료 후 이메일로 받은 확인 QR코드를 입국 심사관에게 제시
    - 태국 도착 전 TDAC 미 발급 시 태국 공항 입국장 셀프 키오스크 통하여 발급 가능
    - TDAC 등록 웹사이트 : 공식 웹사이트 바로가기
    - 기존의 종이 입국 카드(TM6)의 경우 유효하지 않음

Fly, better fly Jin Air",2025-04-22 09:00:00
23,N,이시가키지마(ISG) 신규취항 안내,"베트남 출발 여정 여행 시 최소 4시간 이상 지연될 경우, 베트남 민간 항공법에 따라 일정 기준의 보상을 받을 수 있습니다.
여객의 권리에 대한 자세한 내용은 고객센터로 문의하시거나 아래 관련 법령을 참고해 주세요.

Fly, better fly Jin Air",2025-04-23 09:00:00
24,N,베트남 출발 항공편 여객 보호 규정 고지,"승객 여러분의 안전한 여행을 위해 보조배터리 기내 반입 규정을 안내드립니다.

1. 시행 
   ㅇ 2025년 3월 1일(토) 06시 부

2. 보조배터리 기내 반입 안내
   ㅇ 기내 반입을 위해 단락 방지 조치는 필수입니다. (다음 3가지 중 하나의 방법으로 조치)
     - 비닐봉투, 보호용 파우치에 1개씩 분리 보관
     - 단자에 테이프 부착
     - 단자 보호용 캡 부착

   ㅇ 보조배터리 및 전자담배를 충전하거나 기내 선반에 보관은 엄격히 금지하고 있습니다. 
   ㅇ 반드시 직접 휴대하거나 좌석 앞주머니에 보관해주시고 미사용시에는 봉투에 넣어주세요.
   ㅇ 보조배터리가 과열되거나 부풀어 오르면 즉시 승무원에게 알려주세요.

Fly, better fly Jin Air",2025-04-24 09:00:00
25,N,국내선 유류할증료 안내 (2025년 5월),"최근 온라인 구인구직 사이트에서 진에어 직원을 사칭하며, 여행 관련 문서 작성 등 특정 업무를 제안하고 피싱 사이트로 회원가입을 유도하는 사례가 제보되고 있습니다.

진에어는 공식 채용 사이트(https://jinair.recruiter.co.kr/)를 통해서만 채용 정보 제공 및 지원서를 접수하고 있으며,
어떠한 경우에도 개인적인 연락을 통해 고객 개인정보를 요구하거나 수집하지 않습니다.

또한 진에어 공식 홈페이지(https://www.jinair.com/)와 유사한 주소를 가진 피싱 사이트를 통해 개인정보가 유출될 수 있으니 각별한 주의를 부탁드립니다.

Fly, better fly Jin Air",2025-04-25 09:00:00
26,N,간사이공항 체크인카운터 위치 변경 (25/3/30~),"태국으로 입국하시는 태국 국적외 모든 승객께서는 2025년 5월 1일부터 사전 온라인 입국 신고(TDAC)를 등록하셔야 하오니 참고하여 주시기 바랍니다.

ㅇ 시기 : 2025년 5월 1일 부
ㅇ 대상 : 태국에 입국하는 모든 외국인
ㅇ 주요 내용
    - TDAC의 경우 태국 입국 외국인 대상 의무적으로 온라인 등록 필요
    - 여행 3일 전부터 등록 가능
    - 등록 완료 후 이메일로 받은 확인 QR코드를 입국 심사관에게 제시
    - 태국 도착 전 TDAC 미 발급 시 태국 공항 입국장 셀프 키오스크 통하여 발급 가능
    - TDAC 등록 웹사이트 : 공식 웹사이트 바로가기
    - 기존의 종이 입국 카드(TM6)의 경우 유효하지 않음

Fly, better fly Jin Air",2025-04-26 09:00:00
27,N,[한국 출발] 국제선 유류할증료 (2025년 5월),"베트남 출발 여정 여행 시 최소 4시간 이상 지연될 경우, 베트남 민간 항공법에 따라 일정 기준의 보상을 받을 수 있습니다.
여객의 권리에 대한 자세한 내용은 고객센터로 문의하시거나 아래 관련 법령을 참고해 주세요.

Fly, better fly Jin Air",2025-04-27 09:00:00
28,N,간사이공항 체크인카운터 위치 변경 (25/3/30~),"승객 여러분의 안전한 여행을 위해 보조배터리 기내 반입 규정을 안내드립니다.

1. 시행 
   ㅇ 2025년 3월 1일(토) 06시 부

2. 보조배터리 기내 반입 안내
   ㅇ 기내 반입을 위해 단락 방지 조치는 필수입니다. (다음 3가지 중 하나의 방법으로 조치)
     - 비닐봉투, 보호용 파우치에 1개씩 분리 보관
     - 단자에 테이프 부착
     - 단자 보호용 캡 부착

   ㅇ 보조배터리 및 전자담배를 충전하거나 기내 선반에 보관은 엄격히 금지하고 있습니다. 
   ㅇ 반드시 직접 휴대하거나 좌석 앞주머니에 보관해주시고 미사용시에는 봉투에 넣어주세요.
   ㅇ 보조배터리가 과열되거나 부풀어 오르면 즉시 승무원에게 알려주세요.

Fly, better fly Jin Air",2025-04-28 09:00:00
29,N,진에어 사칭 아르바이트 및 웹사이트 주의 안내,"최근 온라인 구인구직 사이트에서 진에어 직원을 사칭하며, 여행 관련 문서 작성 등 특정 업무를 제안하고 피싱 사이트로 회원가입을 유도하는 사례가 제보되고 있습니다.

진에어는 공식 채용 사이트(https://jinair.recruiter.co.kr/)를 통해서만 채용 정보 제공 및 지원서를 접수하고 있으며,
어떠한 경우에도 개인적인 연락을 통해 고객 개인정보를 요구하거나 수집하지 않습니다.

또한 진에어 공식 홈페이지(https://www.jinair.com/)와 유사한 주소를 가진 피싱 사이트를 통해 개인정보가 유출될 수 있으니 각별한 주의를 부탁드립니다.

Fly, better fly Jin Air",2025-04-29 09:00:00
30,N,이시가키지마(ISG) 신규취항 안내,"태국으로 입국하시는 태국 국적외 모든 승객께서는 2025년 5월 1일부터 사전 온라인 입국 신고(TDAC)를 등록하셔야 하오니 참고하여 주시기 바랍니다.

ㅇ 시기 : 2025년 5월 1일 부
ㅇ 대상 : 태국에 입국하는 모든 외국인
ㅇ 주요 내용
    - TDAC의 경우 태국 입국 외국인 대상 의무적으로 온라인 등록 필요
    - 여행 3일 전부터 등록 가능
    - 등록 완료 후 이메일로 받은 확인 QR코드를 입국 심사관에게 제시
    - 태국 도착 전 TDAC 미 발급 시 태국 공항 입국장 셀프 키오스크 통하여 발급 가능
    - TDAC 등록 웹사이트 : 공식 웹사이트 바로가기
    - 기존의 종이 입국 카드(TM6)의 경우 유효하지 않음

Fly, better fly Jin Air",2025-04-30 09:00:00
